지역구,공원 갯수,인구수,구 면적,공원총면적,면적비,인구수당면적
강남구,7,544085,39.5,3.626398000000001,0.09180754430379746,6.665131367341502
강동구,7,462275,24.59,1.5263870000000002,0.06207348515656772,3.3019025471851178
강북구,3,313550,23.6,2.047054,0.08673957627118645,6.528636581087547
강서구,9,589536,41.44,2.194152,0.0529476833976834,3.721828692395375
관악구,2,514555,29.57,10.431453,0.35277149137639496,20.27276578791383
광진구,2,361923,17.06,0.584002,0.03423223915592029,1.6136084194704399
구로구,4,435751,20.12,1.721011,0.08553732604373758,3.9495285151382324
금천구,4,249641,13.02,0.123251,0.009466282642089091,0.49371297182754437
노원구,3,529532,35.44,12.235699,0.3452511004514673,23.106628116903227
도봉구,6,329300,20.66,1.084218,0.052479090029041615,3.292493167324628
동대문구,4,358679,14.22,0.458663,0.032254781997187065,1.2787562137733182
동작구,7,404617,16.35,3.706738,0.22671180428134555,9.161102968980542
마포구,5,383494,23.85,2.685112,0.11258331236897276,7.001705372183137
서대문구,4,323860,17.63,3.321475,0.1883990357345434,10.25589761007843
서초구,6,429995,46.98,13.359635999999998,0.28436858237547896,31.069282200955822
성동구,5,302695,16.86,0.626838,0.03717900355871887,2.070856803052578
성북구,3,449871,24.57,1.198327,0.04877195767195767,2.6637124864683432
송파구,7,676673,33.87,2.838992,0.08382025391201654,4.19551541143211
양천구,5,460048,17.41,1.2034280000000002,0.0691228029867892,2.6158748652314547
영등포구,5,405982,24.55,0.424446,0.017289042769857432,1.0454798488602943
용산구,2,244953,21.87,0.247194,0.011302880658436213,1.0091486938310614
은평구,7,485842,29.71,2.9874427910000003,0.1005534429821609,6.149000685408014
종로구,13,159842,23.91,5.575526,0.23318803847762445,34.88148296442737
중구,6,135321,9.96,3.001129,0.30131817269076305,22.17785118348224
중랑구,5,400989,18.5,7.046975,0.3809175675675676,17.573985820059903
